Pattern name,Traditional description,Description updated for p2p,Translation for material distributed production,Examples,Measures to increase dependability of these models
Flat Rate,"A single fixed fee is charged for a product or service, regardless of actual usage. The user benefits from a simple cost structure while the company benefits from a constant revenue stream.","Your offering is provided under simple conditions, regardless of the extent of the use or the quantity used. This simplifies operations, can create a constant stream of benefits.","For example a local makerspace offers access to the lab at a flat rate, no matter how much the users spend working in it. This can also be extended to use of equipment, instead of pay-per-hour, a flat access rate is applied, no matter how much time the equipment is used. The flat rate concept can be extended beyound monetary currency, which is to say that access to participation or usage can be granted after a minimum of contributions to the community, in an unlimited fashion. For example, one can gain unlimited access to a makerspace if 10 hours of community work has been logged in a week.  
In the digital realm, some services can be offered at a flat rate. for example, subscription to an online repository or hardware design software, etc. ",,
Fractional Ownership,"Sharing of a certain asset class among a group of owners. Typically the asset is capital-intensive but is only required on an occasional basis. While the customer benefits from the owner's rights, the entire capital does not have to be provided by him or her alone.","Share and mutualize, or help your beneficiaries to gain access to shared assets at low costs. ",,Ex. access to a Makerspace or a Fablab.,
Franchizing,"The franchisor owns the brand name, products and corporate identity and licenses them to independent franchisees who bear the risk of local operations. The franchisee benefits from the marketing of well-known brands and the availability of know-how and support.","Build a brand / identity and create other organizations that operate in the same fashion, standardized operations accross the ntework. Mutualize processes and assets accross the network. ",,Ex. Plastiskul,
Freemium,"The basic version of an item is offered for free in the hope of eventually persuading customers to purchase a premium version. The free offering attracts the highest volume of customers possible for the company., while revenue is generated by premium customers.","Basic offering to anyone, no questions asked, ask reciprocation for a premium offering. The free offer attracts potential beneficiaries / users, while your sustainability is ensured by your power users / beneficiaries. ",,,
From Push to Pull,"Decentralise and thus add flexibility to company processes in order to be more customer-focused. To respond rapidly and flexibly to new customers' needs, any part of the value chain including production or even research and development may be affected.","Open your operations to incluse early adapters or potential users / beneficiaries in your processes, integrating their needs into development of your offer. ",,,
Guaranteed Availability,"This pattern makes the customer's needs central to desicions within the enterprise and the shaping of the value proposition, it can be applied to all aspects of the business.","Make your beneficiaries' need central to the organization, shaping your decisions and your value proposition. ",,,
Hidden Revenue,"The logic that the income of the business depends on the users is abandoned. instead, the main source of revenue comes from a third party, who cross-finances whatever free or low-priced offering attracts the user. A very common application is financing through advertising.",Your sustainability is linked not directly with your beneficiaries but with third parties. These third parties source your operations to attract users. Ex. financing through advertizing. ,,,
Ingredient Branding,This is the inclusion of a branded ingredient originating from different suppliers into a product. The principal product is then advertised as containing the ingredient product and stressing the added value it brings to the customer.,Include an very well-known and prized ingredient in your offering. Your offering will be noticed for containing that special ingredient. This ingredient can also be immaterial (ex. fair trade label) and even intangible (ex. spiritual dimension).  ,,,
Integrator,A company functioning on the integrator model has command of the majority of the steps in the value-adding process including all resources and capabilities in terms of value creation. Efficiency gains economies of scope and reduces dependency on suppliers.,"Reduce dependency on other entities in your ecosystem, produce your offerings from A to Z, independently. Reduce costs and gain better control over the process, applying your own methods and tools. You may have efficiency gains, economy of scope, control your risk. ",,,
Layer Player,A layer player is a specialized company limited to providing one value-adding step to different value chains. This step is typically offered within a variety of independent markets and industries. The company benefits from the economies of scale and often leads to more efficient production,"Your offering constitutes a layer in a larger offering from other actors, one value-added step to different value  chains. Efficnent production because specialization, benefit from scale. Ex. local food basket, composed of offerings from various small local producers. ",,,
Leverage Customer / user Data,New value is created using customer data and preparing it in beneficial ways for internal usage or transmission of interested third parties. Revenues are generated by either selling this data directly to others or leveraging them for the company's own purpouses ,"Leverage the data produced by participants, build analysis or dashboard services or provide it to third parties (which is not necesarelly bad in a p2p system where transparency is inportant and information must flow). ",,,
Licensing,The efforts are focused on developing intellectual property that can be licensed to other manufacturers. This model attempts to transform these intangible assets into money. Licensing gives the company the freedom to focus on R&D.,"control who can distribute your offering. Can simply be achieved by contracting with other parties, even if the technology on which your offerings are built is open source. Allows an agent to focus ion innovation and let other agents take on production and distribution. ",,,
Lock-in,Customers are locked into a vendor's world of products and services. Transferring customs to another vendor is impossible without incurring substantial switching costs. This mechanism is affected either by technological mechanism or a high level of the interdependency of products and services. ,"Provide an ecosystem of highly interoperable or interdependent offerings, which generates switching costs or network effects. ",,,
Long Tail,"The main bulk of revenues is generated through a long tail of nice products, which individually neither demand high volumes nor allow a high margin. If a wide variety of these products is offered in sufficient amounts, the profits from the accumulated small sales can add up. ","Your sustainability rests on a large number of niche offerings (low demand), not on a small number of offerings.  ",,,
Make More of it,Know-how and other assets available in the company's are not only used to build its own products but are also offered to other companies. Thus sluck resources are used to create additional value besides those generated directly by the company's core value proposition.,Offer excess capacity (resources and even time/know-how) in your organizations to other organizations in exchange for benefits. Don't just focus on your own offerings.  ,,,
Mass Customization,"Customising products through mass production once seemed to be an impossible endeavor, but this has now changed with the development of modular products and production systems that enable efficient individualization of product. ","Modular and highly customizable offerings and systems por production (digital fabrication), individualize the offering. ",,,
No Frills,"No frills value creation focuses on the necessary minimum to deliver the core value proposition of a product or service, which will thus typically be very basic. Cost savings are shared with the customer, usually resulting in a customer base with lower purchasing power or purchasing willingness. ","Your offering is basic, simple, very cost effective. Your offer can reach the poor. ",,,
Open Bussiness,"Collaboration with partners in the ecosystem becomes a central source of value creation. companies pursuing an open business model actively search novel ways of working together with suppliers, customers or complementors, to open up and extend their business. ","Integrate your organization with other actors in your ecosystem, become master of leveraging relations within the ecosystem, build synergies and collaborations. Your offering and the experience associated with it are prpoduced through this collaboration.","Open-Value-networks (OVN) act as ecosystem builders in the CBPP transactional setting. Classical economies assign costs and resources to manufacture products. In CBPP, classical operations fall and tasks are to be handled by a large network of collaborators. Building this ecosystem requires innovative tools and methods to adapt to this new transactional setting.",,
Open Source,"In open source software engineering, the source code of a product is not proprietary but is made freely accessible for anyone. Money is typically earned with services that are complimentary to the product, such as consulting and support.","Your sustainability comes from offering services complementary to open source offering(s), which are not a products, themselves are not sold. Ex. consulting support",,,
Orchestrator,The company's focus is on the core competencies within the value chain. The other segments of the value chain are outsourced and actively coordinated. This allows the company to reduce costs and to benefit from suppliers' economies of scale. ,"Take a central role within your economic ecosystem by focusing on a key offering that holds this ecosystem tegether. You make it your responsability to coordinate complementary offerings provided by other actors. Thus, reduce costs (delegating production of peripherial offerings) and benefit from economy of scale. ",,,
Pay Per Use,"In this model, the actual usage of a service or product is metered. The customer pays on the basis of what he or she effectivelly consumes. The company is able to attract customers who whish to benefit from the additional flexibility, which might be priced higher. ",The usage of your offering is metered and your benefit is in proportion to the use that your beneficiaries make of it. You offer flexibility to your beneficiaries. ,,,
Pay What You Want,"The buyer pays any desired amount for a given commodity, sometimes even zero. In some cases, a minimum floor price may be set, and/or a suggested price may be indicated as guidance for the buyer. The customer is allowed to influence the price, while the seller benefits from the higher numbers of attracted customers, since individuals' willingness to pay is met. Based on the existance of social norms and morals, this is onnly rarely exploited, which makes it suitable to attract new customers. ",Your offering is entirelly free to access / use / consume. You may suggest a sinbolic or minimum reciprocation. Benefit from high number of users / beneficiaries and allow some of them to reward you very much. ,,,
Peer-to-Peer,"This model is based on a cooperation that specializes in mediating between individuals belonging to an homogeneous group. It is often abbreviated as p2p. The company offers a meeting point, e.g. an online database and communication service that connects these individuals (these could include offering personal objects for rent, providing certain products or services, or the sharing of information and experiences).","Mediate a group of individuals and organizations that have similar interests. You offer a meeting point, a way to connect all these actors, facilitating transactions among themselves (they can share things or offer eachother services). ",,,
Performance-based Contracting,"A product's price is not based upon the physical value, but on the performance or valuable outcome it delivers in the form of a service. Performance based contractors are often strongly integrated into the value creation process of their customers. Special expertise and economies of scale result in lower production and maintenance costs of a product, which can be forwarded to the customer. Extreme variants of this model are represented by different operation schemes in which the product remains the property of the company and operated by it. ","Your offering a guarantee of performance, utility. This may be achieved through a material artifact (ex. you don't sell a bolb, you guarantee lighting in a building). Leads to a stronger relation with your beneficiaries. ",,,
Razor BladeRent Instead of Buy,"The basic product is cheap or given away for free. The consumable that are needed to use or operate it, on the other hamd, are expensive and sold at high margins. The initial product's price lowers customers' barrier to purchase, while the subsequent recurring sales cross-finance it. Usualy, these products are technologically bound to each other to further enhance this effect. ","A basic offering that is made very accessible, which requires other parts / modules in order to operate properly, which ensure your sustainability. It is based on repetitive interactions with your beneficiaries - repetitive game. ",,,
Rent instead of buy,"The customer does not buy a product, but instead rents it. This lowers the capital typically needed to gain access to the product. The company itself benefits from higher profits on each product, as it is paid for the duration of the rental period. Both parties benefit from higher efficiency in product utilization as time of non-usage, which unecessarely binds capital, is reduced on each product. ","Make your offering more accessible to your beneficiaries, knowing that cost of ownership may be high in some cases. Leads to higher efficiency in utilization, increase the utility of the resource as the idle time is reduced. you focus on providing the access service and on maintaining the asset.  ",,,
Revenu Sharing,"Revenue sharing refers to the firm's practice of sharing revenues with tiehr stakeholders, such as complementors or even rivals. Thus, in this business model, advantagous properties are merged to create symbiotic effects in which additional profits are shared with partners participating in the extended value creation. One party is able to obtain a share of revenue from another that benefits from increased value for its customer base. ","Share your benefits with your stakeholders, complementors and even with your rivals. Creates symbiotic effects. Offerings from various agents are merged, benefiting from merged advantageous properties, benefiting from the higher valuation of the agregated offer. One actor may benefit more financialy, while another one may benefit more from increased visibility and activity. ",,,
Reverse Engineering,"This pattern refers to obtaining a competitor's product, taking it apart and using this information to produce a similar or compatible product. Because no huge investment in research or development is necessary, these products can be offered at a lower price than the original product. ","Offer reproductions of other organizations' offerings, at lower costs, making them more accessible.  This is also the mode of production and reproduction in commons-based peer production, where development is done in the developed world by people with technical skills and time on their hands, and the models are then remixed and materialized in the developing world. ",,,
Reverse Innovation,"Simple and inexpensive products that were developed within and for emerging markets are also sold in industrial countries. The term ""reverse"" refers to the process by which new products are typically developed in industrial countries and then adappted to fit the emerging market needs. ",Your offer in the developed world is inspired from solutions developed in the developing world.,,,
Robin Hood,"the same product or service is provided to the rich at a much higher price than to the poor. Thus, the main bulk of profits are generated from the wealthy customer base. Serving the poor is nt profitable per se, but creates economies of scale, which other providers cannot achieve. Additionally, it has a positive effect on the company's image. ","Ask more for your offering from the rich than from the poor. Make the rich pay for the poor, help the poor and benefit from that image. Benefit from ability to penetrate poor economies. ",,,
Self-service,"A part of the value creation ois transferred to the customer in exchange for lower price of the service or product. This is particularly suited for process steps that add relatively little perceived value for the customer, but incur high costs. Customers benefit from efficiency and time savings, while putting in their own effort. This can also increase efficiency, since in some cases, the customer can execute a calue adding step more quickly and in a more target-oriented manner than the company. ","Transfer some processes that can generate high costs to you, to your beneficiaries (ex. assembly when you send them a kit). These transfered processes must not increase the valuation of your offer much. This increases efficiency, since the user can perform this process acording to his needs. ",,,
Shop in Shop,"Instead of opening new branches, a partner is chosen whos branches can profit from integrating the company's offerings in a way that initiated a small shop within another shop (a win-win situation). The hosting store can benefit from more attracted customers and is able to gain constant revenue from the hosted shop in the form of rent. The hosted company gains access to cheaper resources such as space, location or workforce. ","Share space, physical or digital, with another organization, benefit from a larger offer, mutualizing resources and processes, location, as well as from a larger flow of potential beneficiaries.  ",,Ex. a fablab in a library. ,
Solution Provider,"A full service provider offers total coverage of products and services in a particular domain, consolidated via a single point of contact. Special know-how is given to the customer in order to increase his or her efficiency and performance. By becoming a full service provider, a company can prevent revenue losses by extending their service and adding it to the product. Additionally, close contact with the customer allows great insight into the customer habits and needs, which can be used to improve the products and services. ","Your offer covers everything in a specific domain, consolidated via a single point of entry. You provide special know-how, in order to increase efficiancy and performance. This model helps to prevent losses, extends your offerings. Also benefit from close relation with your beneficiaries, greater insight into their needs, which can be used as feedback. ",,,
Subscription,"The customer pays a regular fee, typically on a monthly or anual basis, in order to gain access to a product or service. While customers mostly benefit from lower usage cost and general service availability, the company generates a more steady income stream. ","Your beneficiaries reciprocate on a regular basis for a basic or generic offer. Makes your offer more affordable, lower usage costs and higher offer availability. Your operations become more predictable, steady. ",,,
Supermarket,"The company sells a large variety of readily available products and accessories under one roof. Generally, the assortment of products is large but the prices are kept low. More customers are attracted due to the great range of offers, while economies of scale yield advantages for the company. ",A great variety of offers that are widely needed. Benefit from the scale of the operation. ,,,
Target the Poor,"The product or service offering does not target the premium customer, but rather the customer positioned at the base of the pyramid. Customers with lower purchasing power benefit from affordable products. The company generates small profits with each product sold, but benefits from the higher sales numbers that usually some with the scale of the customer base. ","Your offering benefits the poor. Your focus is on increasing the number of beneficiaries, cater to the needs of the poor. ",,,
Trash to Cash,"Used products are collected and either sold in other parts of the world of transformed into new products. The profit scheme is essentially based on low-to-no purchase price. Resource costs for the company are practically eliminated, whilst the supplier's waste disposal is either provided, or associated costs are reduced. This also addresses customers' potential environmental awarness ideals. ","Recycling, curcular economy. Your ofering is transforming, upscaling. ",,,
Two-sided Market,"A two-sided market facilitates interactions between multiple interdependent groups of customers. The value of the platrform increases as more groups or as more individual members of each group are using it. The two sides usually come from disparate groups, e.g. business and private interest groups.  ","Your offer is to facilitate interactions between multiple interdependent groups of customers. The offer becomes more valuable as more groups or as more individual members of each group are participating. The two sides usually come from disparate groups, interested in transacting with each other. ",,,
Ultimate Luxury,This pattern describes the strategy of a company to focus on the upper side of society's pyramid. This allows a company to distinguish its products or services greatly from others. High standards of quality or exclusive privileges are the main focus to attract these kinks of customers. The necessary investments for these differenciations are met by the relatively high prices that can be achieved - which usualy allows for very high margins. ,Your offer targets a very select segment You can extract a lot of benefits from your beneficiaries that are very sensitive to quality or are looking for exclusive privileges. ,,,
User design,"Within user manufacturing, a customer is both the manufacturer and the customer. As an example, an online platform provides the customer with the necessary support in order to design and merchandise the product, e.g. product design software, manufacturing services, or an online shop to sell products. Thus, the company only supports the customers in their undertakings and benefits from their creativity. The customer benefits from the potential to realize entrepreneurial ideas without having to provide the required infrastructure. Revenue is then generated as part of the actual sales. ","Your offer is to provide help entrepreneurs, to facilitate their work, even to source an enterprize (provide infrastructure, space, etc.), help with dissemination / distribution.  You benefit from the success of your beneficiaries (share of benefits agreement). Your beneficiaries are happy because they reduce their costs. ",,"ex. Sensorica, any incubator or accelerator. ",
White Label,"A white label producer allows other companies to distribute its goods under their brands, so that it appears as if they are made by them. The same product or service is often sold by multiple marketers and under different brands. This way, various customer segments can be satisfied with the same product. ",,,,
Sensor as a Service,"The use of sensors permits additional services for physical offerings, or wholly new independent services. It is not the sensor that generates the primary revenue, but the analysis of the data that the sensor creates. Possibilities for real-time information can further strenghten the value proposition. ",,,,
Visualization,"The pattern describes the imitation of a traditionally physical process in a virtual environment. E.g. a virtual workspace. The advantage for the customer is the ability to interact with the process from any location or device. In exchange, the customer pays for access to the virtual service. ","Your offer is a digital twin, a digital / virtual representation of a thing, a process, or both. ",,,
Object self-service,"Through the use of sensors and inclusion in an IT-structure, and object can generate orders itself. This makes fully automated processes like replenishment possible, and increases the speed of interaction with the object. The customer is locked in, giving rise to reccurent revenue. ",,,,
Object as a Point of Sale,"The point of sale of consumables moves to the point of consumption. This generates a stronger lock-in and results in higher customer retention. When the point of sale is shifted away from competing products, the customer becomes less sensitive to proce.  ","The point of access of resources moves to the point of use. This generates a stronger confluence of peers and results in less possibility of design overlappings, not counting better usage of available resources. When the point of access is shifted away from collaborative designables the peer that seeks to develop new designs becomes less resourceful.",,,
Prosumer,"Companies enable the customer to become producers themselves. The customer is integrated into the value chain and can profit from resulting product, while the company has fewer investment costs for production and overhead. Since the customer has a hand in production, the perceived value of the product increases. ","Your beneficiaries become you peers and contribute to your innovation and production processes. Your organization is open. Your offering can better incorporate the needs of you beneficiaries, since they contribute to design your offer.  ",,,
